n	date	carrier	procedure	result	control_or_flaw	chapter	relevance_to_project
1	—	вода (стакан)	чувствительность «сгущают» в стакан воды, стакан уносят	испытуемый чувствует прикосновения к воде; у мисс Андре дальность растёт с 30–40 см до 3–4 м	дальность КОНЕЧНА: слишком далеко — связь рвётся, при приближении восстанавливается	ch2	носитель усиливает дальность в 10 раз; расстояние ещё не объявлено несущественным
2	—	вода с эссенцией	в сенсибилизированную воду добавляют эссенцию лавровишни	испытуемая сначала счастлива, затем испытывает потребность встать на колени и выполняет движение	не ослеплено; присутствующие знают, что добавляют	ch2	★★★ управление СОСТОЯНИЕМ и ПОВЕДЕНИЕМ через носитель — ближе к вибрационному ряду, чем кукла
3	—	воск (статуэтка)	статуэтку ставят вертикально перед испытуемым «чтобы наэффлювилась», затем колют	укол в голову → недомогание вверху тела; под ступни → внизу	★ ЕСТЬ: при зарядке статуэтки вверх ногами соответствие переворачивается	ch3	правило позиционного соответствия + собственный контроль автора
4	—	воск + волосы	прядь срезана у спящего с затылка и вживлена в голову статуэтки; испытуемый не знает	де Роша вне поля зрения тянет волосы → испытуемый оборачивается: «кто меня тянет за волосы?»	испытуемый не знал об операции; но в комнате, момент не рандомизирован	ch3	★★★ ПРЯМОЙ ПРЕДОК «СВИДЕТЕЛЯ»: часть человека, вложенная в изображение
5	—	воск + борода / ноготь	то же с бородой другого испытуемого; отдельно с обрезком ногтя	с бородой — так же чётко; с ногтем — «более смутно»	—	ch3	градация носителей: волосы/борода работают, ноготь хуже
6	—	воск, на расстоянии	мисс Vix уходит через двор; г-н B. спонтанно колет воск	она наклоняется и трёт ногу; на этом месте у неё оказывается «гипногенная точка»	★ ближе всего к слепому: она не знала. Но единичный случай, наблюдатели ожидали эффекта	ch3	обычная дальность 5–6 м
7	30 июля 1893 (в тексте; ниже 1892 — OCR)	фотопластинка	три снимка мисс Люкс: бодрствующей; спящей-экстериоризованной; спящей-экстериоризованной на пластинке, полежавшей у её тела	укол булавкой: 1-я — ничего, 2-я — немного, 3-я — сильно	градация по степени «зарядки» пластинки; но не ослеплено	ch3	★★★ ФОТОГРАФИЯ КАК МИШЕНЬ, документировано опытом
8	2 августа	те же пластинки, ПРОЯВЛЕННЫЕ	проверка чувствительности после проявки	1-я ничего, 2-я очень мало, 3-я «так же чувствительна, как в первый день»	—	ch3	★★ чувствительность ПЕРЕЖИВАЕТ химическую обработку
9	—	фотопластинка (изображение руки)	два сильных укола булавкой по изображению руки, слой желатина разорван	мисс Люкс в 2 м, не видя какой части, падает в контрактуру с криком боли; через секунды на правой руке появляются две красные чёрточки в соответствующих местах	врач P. подтвердил: эпидермис не повреждён, краснота ПОД кожей	ch3	★★★ телесный след. Дефляция: дермографизм + ожидание; она знала, что укол происходит
10	5 октября 1892	фотопластинка	мисс Люкс не магнетизировали с 3 августа; пластинку заряжают её эффлювами (между ладоней, затем медленно проводят перед телом), выдержка 20 с; г-н B. уносит проявлять за 100+ м	во время проявки она не чувствует НИЧЕГО; когда пластинку приносят — чувствует прикосновения де Роша, но НЕ чувствует прикосновений г-на B., если только де Роша сам не касается г-на B.	★★ ВНУТРЕННИЙ КОНТРОЛЬ: посторонний не действует; связь передаётся по цепочке контакта	ch3	★★★ модель СВЯЗИ в чистом виде: работает не мишень, а rapport с магнетизёром
