name	pattern	count	pages	note
Хаббард	`хаббард\w*`	1	25	дианетика; НО цитируется ЧЕРЕЗ собственную книгу Пучко — не прямая ссылка
Гаряев	`горяев\w*|гаряев\w*`	1	9	в тексте написан «Горяев»; верно Гаряев П. П. Искать по названию, не по фамилии
Фолль	`фолл\w*`	21	7,82,83,85,95,102,109,111,139,214,215,216,217,218,219,294,313	электроакупунктура; самый частый внешний источник
Беликов	`беликов\w*`	1	64	«Ступени жизни», 1998 — источник ПРААЛФАВИТА, звено к неоязыческому канону
Непокойчицкий	`непокойчицк\w*`	1	55	НЕ благодарность: автор эксперимента §5.20, теоретик и руководитель издательства АНС
Гришина	`гришин\w*`	1	22	самоцитирование внутри издательского круга
Самусев	`самусев\w*`	1	64	анатомический атлас, полное библиографическое описание
Липченко	`липченко\w*`	1	64	соавтор того же атласа
Пучко	`пучко\w*`	4	1,16,67,272	самоцитирование
—				ИЗЪЯТО: «Пеккет» — ложное срабатывание, стр. 291, «цистерна грудного протока (Ц. Пеккета)», по Жану Пеке, анатому XVII в.
