page	chapter	words	chars	sparse
1		20	166	0
2	Оглавление	259	4474	0
3	ОГЛАВЛЕНИЕ	194	4485	0
4	Введение	372	3047	0
5	Глава 1.	262	2080	0
6	Глава 1.	363	2833	0
7	ГЛАВА 1	360	2840	0
8	ГЛАВА 1	335	2737	0
9	ГЛАВА 1	308	2445	0
10	ГЛАВА 1	224	1723	0
11	Глава 2.	258	1775	0
12	Глава 3.	317	2572	0
13	ГЛАВА 3	355	2611	0
14	ГЛАВА 3	377	2776	0
15	ГЛАВА 3	353	2755	0
16	ГЛАВА 3	391	2966	0
17	ГЛАВА 3	387	2994	0
18	ГЛАВА 3	382	2763	0
19	ГЛАВА 3	103	832	0
20	Глава 4.	318	2395	0
21	ГЛАВА 4	322	2663	0
22	ГЛАВА 4	222	1734	0
23	Глава 5. Основные принципиальные установки	325	2301	0
24	Глава 5. Основные принципиальные установки	377	2984	0
25	ГЛАВА 5	375	2632	0
26	ГЛАВА 5	346	2688	0
27	ГЛАВА 5	361	2688	0
28	ГЛАВА 5	403	3056	0
29	ГЛАВА 5	399	2794	0
30	ГЛАВА 5	319	2325	0
31	ГЛАВА 5	318	2160	0
32	ГЛАВА 5	316	2330	0
33	ГЛАВА 5	308	2456	0
34	ГЛАВА 5	365	2936	0
35	ГЛАВА 5	401	3009	0
36	ГЛАВА 5	5	43	1
37	ГЛАВА 5	345	2641	0
38	ГЛАВА 5	371	2839	0
39	ГЛАВА 5	362	2721	0
40	ГЛАВА 5	322	2620	0
41	ГЛАВА 5	339	2426	0
42	ГЛАВА 5	346	2745	0
43	ГЛАВА 5	361	2549	0
44	ГЛАВА 5	340	2557	0
45	ГЛАВА 5	380	2839	0
46	ГЛАВА 5	372	2811	0
47	ГЛАВА 5	386	2808	0
48	ГЛАВА 5	371	2898	0
49	ГЛАВА 5	287	2278	0
50	ГЛАВА 5	355	2719	0
51	ГЛАВА 5	307	2202	0
52	ГЛАВА 5	309	2025	0
53	ГЛАВА 5	307	2312	0
54	ГЛАВА 5	343	2541	0
55	ГЛАВА 5	314	2471	0
56	ГЛАВА 5	424	2718	0
57	ГЛАВА 5	268	1823	0
58	ГЛАВА 5	290	2073	0
59	ГЛАВА 5	146	1125	0
60	ГЛАВА 5	162	1386	0
61	Глава 6.	355	2677	0
62	Глава 6.	274	1945	0
63	ГЛАВА 6	43	266	0
64	Глава 7.	381	2954	0
65	ГЛАВА 7	372	2831	0
66	ГЛАВА 7	294	2311	0
67	Заключение	208	1632	0
68	Приложение 1	366	2824	0
