n	author	title	imprint	year	class	cited_times	cited_for
1	Аллаев В. М.	Секрет околосолнечного сплетения	Комсомольская правда, 15 декабря	1967	наука_рус_пресса	3	спектральный состав излучения органов, микроэлементы
2	Андреев Ю. А.	Три кита здоровья	М., Физкультура и спорт	1991	оздоровление_народное	1	методы очищения органов
3	Айванхов О. М.	Язык геометрических фигур	М., Просвета	1994	эзотерика_зап	1	* геометрические фигуры как универсальный язык природы — ОСЬ ФОРМЫ
4	Богданович В. Н.	Традиции кармы	С-П, Спикс	1994	эзотерика_рус	0	
5	Берг Ш.	Перевоплощение душ	Иерусалимский каббалистический центр		каббала	0	
6	Бадмаев П. А.	Основы врачебной науки Тибета Чжуд-Ши	М., Наука	1991	медицина_восточная	1	индо-тибетская ветвь
7	Болотов Б. В., Любецкий А. Е.	Верю в бессмертие	М., прил. к «Природа и человек» («Свет»)	1995	оздоровление_народное	10	* спектры органов, микроэлементы, рецепты очищения
8	Блаватская Е. П.	Закон причин и последствий (карма)	С-П, Северо-запад	1994	теософия	0	* единственная теософская позиция; в тексте не цитируется
9	Гендель М. (Max Heindel)	Космогоническая концепция	С-П, АО «Комплект»	1994	розенкрейцерство	2	* семь тел = семь диапазонов вибраций; структура Вселенной
10	Гоч В.	Причина и карма	М.	1990	эзотерика_рус	0	
11	Гольдман Е. Е.	Дурной глаз	М., Прометей, МГПИ	1990	эзотерика_рус	0	
12	Гаряев П. П.	Волновой геном	М., РАН	1994	физика_альтернативная	0	в списке есть, в тексте не цитируется
13	Грин Л.	Ментальная биолокация	Воронеж, НПО «Модэк»	1994	радиэстезия_зап	6	*** каталог ауральных сущностей, числовые коды, Р-диаграммы, пренатальные инграммы, факторы риска
14	Гроф С.	Области человеческого бессознательного	М., изд-во Трансперсонального института	1994	психотерапия_зап	2	голотропное дыхание, СКО
15	Дмитрук М. А.	Миры внутри нас	М., Знание, серия «Знак вопроса»	1990	научпоп	1	микролептонные голограммы, концепция Охатрина–Исцхакова
16	Дмитрук М. А.	Биолокация	М., «Природа и человек», № 3	1988	научпоп	1	история Р-метода
17	Джарвис Д. С.	Мед и другие естественные продукты	США, Апимондия	1981	оздоровление_народное	0	
18	Дубров А. П., Пушкин В. Н.	Парапсихология и современное естествознание	М., СП «Соваминко»	1990	парапсихология_рус	0	в списке есть, в тексте не цитируется
19	Жан де Лангр	Практическое руководство по системе ДО-ИН (кн. 1–2)	США	1974	медицина_восточная	4	синдромы инь-ян, ход каналов, массаж До-Ин
20	Залманов А. С.	Тайная мудрость человеческого организма	М., Наука	1991	медицина_официальная	0	
21	Зюрняева Т. Н.	Числовая мандала человека	Минск, Вестпринт	1995	астрология	2	* графическая нумерологическая мандала (гл. 6)
22	Зюрняева Т. Н.	Аша. Курс лекций «Гармонизация жизни»	Минск, Вестпринт	1995	астрология	2	вибрации планет, числовая мандала
23	Игнатенко А. В.	Как стать феноменом	М., Импульс	1992	эзотерика_рус	0	
24	Иеромонах Серафим (Роуз)	Душа после смерти	М., «Свет»	1992	православие	1	душа как субстанция чувствующая и разумеющая
25	Коновалов В. В.	Что такое иридодиагностика?	М., Московская правда	1992	медицина_официальная	1	иридодиагностика
26	Кох Р.	Книга символов. Эмблемата	М., Золотой век	1995	символика	1	символы в вибрационных рядах
27	Куши М. и А.	Физическое, умственное и духовное здоровье через питание	Париж, лекции и семинар	1978	макробиотика	2	инь/ян в пище, макробиотика
28	Лессур Г.	Маятниковый способ диагностики болезней и микробных проникновений	Париж	1934	радиэстезия_зап	1	*** классификация возбудителей по длинам волн, «синтонизация» — ИСТОЧНИК формулы λ
29	Ларионов И. К.	Интра йога	М., Прометей, МПГУ	1991	эзотерика_рус	1	описание тонких тел
30	Лазарев С. Н.	Диагностика кармы	С-П, АО «Сфера»	1993	эзотерика_рус	0	
31	Лекрон Л.	Добрая сила. Самогипноз	М., Писатель	1993	психотерапия_зап	1	применение Р-метода в клиниках Англии и Франции
32	Лазарев С. Н., Данченко С. М.	Кармическая диагностика чакр	М.	1994	эзотерика_рус	0	
33	Левашов Н.	Последнее послание человечеству	Сан-Франциско	1994	эзотерика_рус	4	* терминология тел, обозначения M1–M4
34	Лувсан Г.	Традиционные и современные аспекты восточной рефлексотерапии	М., Наука	1986	медицина_официальная	8	* меридианная диагностика, зоны на голове, «чудесные» меридианы, ход каналов
35	Максин Д.	Космические знаки добра и зла	Красноярск, Витал	1992	эзотерика_рус	0	
36	Максимова Т. А.	Хранить и возделывать рай	С-П	1994	эзотерика_рус	0	
37	Мизун Ю. Г.	Биопатогенные зоны — угрозы заболевания	М., НПЦ «Экология и здоровье»	1993	геопатогенные_зоны	0	
38	Миллер М. А.	Карма. Изменение будущего	М., Топикал	1995	эзотерика_рус	0	
39	Махариши Махеш Йоги	Трансцендентальная медитация	М., Древо жизни	1991	медитация	0	
40	Малахов Г. П.	Целительные силы (тт. 1–4)	С-П, АО «Комплект»	1994	оздоровление_народное	8	* обзор интегративных техник, «дыхание счастья», чистки органов
41	Млакер Р.	Духовный маятник (результаты исследований)	М.	1978	радиэстезия_зап	6	* история радиэстезии: Соломон, Екатерина II, Германия, клиники
42	Нилсон Г., Полянский Е.	Магия маятника	М.	1978	радиэстезия_зап	2	история и практика маятника
43	—	Некоторые сведения об использовании лекарственных растений в народной медицине	М., отчёт ВИЛР	1973	травы	1	траволечение
44	Неумывакин И. П.	Здоровье в ваших руках	М., Сфинкс	1992	оздоровление_народное	2	очистительные процедуры
45	Норбеков М. А., Фотина Л. А.	Верни здоровье и молодость	М., Знание	1993	оздоровление_народное	1	чистка «взглядом (торсионными полями)»
46	Ориген	О началах	Самара, Рериховский центр духовной культуры, изд-во «Ра»	1993	патристика	1	* гностики о душе; единственный рериховский след — издательский
47	Поляков В. А.	Астрологический синтез… энергосистем Микро-Макрокосма	Минск, Инпресс	1994	астрология	0	
48	Поляков В. А.	Экспресс-метод астрологического психоанализа кармической программы	Минск, Инпресс	1995	астрология	0	
49	Преснов В. А.	Некоторые тайны нашего организма	Одесса, ОГУ им. Мечникова	1992	медицина_официальная	0	
50	Преподобный Иоанн (Лествичник)	Лествица (в сокращении)	М., Братство во имя Всемилостивого Спаса	1993	православие	0	
51	Рыжов А. Н.	Чистка организма. Школа астройоги	М.	1993	оздоровление_народное	3	чистки глотки, желудка, почек, крови
52	Ремизова-Бабушкина Н. Ю.	Тайны энергоинформационного обмена	М., Вестник	1993	эзотерика_рус	0	
53	Ремизова-Бабушкина Н. Ю.	Биоэнергоинформационные оздоровительные модули Р. Г. Шакаева	М., Вестник	1995	эзотерика_рус	2	модули Шакаева, геометрические орнаменты
54	Савельев И. К.	Вампиры во сне и наяву	М., Российское общество медиков-литераторов	1995	эзотерика_рус	0	
55	Священник Владимир Емеличев	Одержимые. Изгнание злых духов	Рига	1994	православие	3	* отчитка молитвой против «Люцифера» и эфирных структур
56	Синельников Р. Д.	Атлас анатомии в 3 томах	М., Медицина	1979	медицина_официальная	0	
57	Стренден	Герметизм	М., Сиб	1914	герметизм	1	* семь космических принципов Гермеса Трисмегиста
58	Сюгру Т.	Река жизни. История Эдгара Кейси	М., Яхтсмен	1994	эзотерика_зап	0	
59	Семенова Н. А.	Сверхмарафон к себе	М., «Природа и человек» («Свет»), № 10	1986	оздоровление_народное	4	очищение печени, совместимость продуктов
60	Табеева Д. М.	Руководство по иглорефлексотерапии	М., Медицина	1980	медицина_официальная	2	аурикулодиагностика, реанимационные точки
61	Трубецкой Н. С.	Религии Индии и христианство	«Литературная учеба», № 6	1991	философия_рус	1	предупреждение о восточном эгрегоре
62	Тер-Акопян А. К.	Просторы четырехмерности	М.	1993	эзотерика_рус	0	
63	Файдыш Е. К.	Изменённые состояния сознания	М., фирма ДЭОС, АО «Корона-Лак»	1993	психотехнологии_рус	10	*** обзор интегративных техник, сенсорная изоляция, ци-гун, платоновы тела, метод психического резонанса, вихревая структура в ауре
64	Хаббард Р.	Дианетика. Современная наука душевного здоровья	М., Нью эра Пабликейшнс Груп	1993	психотерапия_зап	5	* инграмма, инграммный банк, подавляющая личность, слова-ключи
65	Hurlimann G. I.	Pendeln ist erlernbar (Band 1–3)	Zurich, Edition Astroterra	1985	радиэстезия_зап	2	** единственная иностранная позиция; швейцарские маятниковые таблицы — прообраз Р-диаграмм
66	—	Целительные силы. Календарь 1995 года	С-П, АО «Комплект»	1994	оздоровление_народное	0	
67	Цветков Э. А.	В поисках утраченного «Я»	М., Доис	1992	психотерапия_рус	0	
68	Чижевский А. Л.	Земное эхо солнечных бурь	М., НТ-Центр	1993	наука_рус	0	
69	Шипов Г. И.	Теория физического вакуума	М., НТ-Центр	1993	физика_альтернативная	3	*** семь состояний материи, торсионные поля под тонкие тела
70	Шмеман А. (протоиерей)	Исторический путь православия	Нью-Йорк, изд-во им. Чехова	1954	православие	1	семь мрачных периодов истории церкви
71	Эйнштейн А.	Теория единого поля		1925	физика	0	в списке есть, в тексте не цитируется
72	Юрьев В. Н.	Вселенная экстрасенсов	М., Мистерия	1993	эзотерика_рус	3	* 18 чакр, дополнительные чакры и чакральные связи
73	Ягодинский В. Н.	Будущее древней науки	М., Знание	1992	научпоп	0	
74	Каструбин Э. К.	Ключ к тайнам мозга	М., Триада	1995	медицина_официальная	2	зоны краниопунктуры, три зоны Проскурина
75	Пишель Я. В., Шапиро И. И.	Анатомо-клинический атлас рефлексотерапии	М., Медицина	1991	медицина_официальная	2	наружный и внутренний ход каналов
76	Матеин М.	Биолокационный практикум	М., ВНИЦТНМ «Эниом»	1992	радиэстезия_рус	0	
77	Зуев В. А.	Третий лик	М., Знание	1985	научпоп	0	
78	Цузмер А. М., Петришина О. Л.	Биология. Человек и его здоровье	М., Просвещение	1990	учебник_школьный	1	иллюстрации физического тела
79	Борзяк Э. И. и др.	Анатомия человека	М., Медицина	1987	медицина_официальная	1	иллюстрации физического тела
