class	entries	refs_in_text
эзотерика_рус	16	10
оздоровление_народное	9	29
медицина_официальная	9	16
радиэстезия_зап	5	17
научпоп	4	2
астрология	4	4
православие	4	5
психотерапия_зап	3	8
эзотерика_зап	2	1
медицина_восточная	2	5
физика_альтернативная	2	3
наука_рус_пресса	1	3
каббала	1	0
теософия	1	0
розенкрейцерство	1	2
парапсихология_рус	1	0
символика	1	1
макробиотика	1	2
геопатогенные_зоны	1	0
медитация	1	0
травы	1	1
патристика	1	1
герметизм	1	1
философия_рус	1	1
психотехнологии_рус	1	10
психотерапия_рус	1	0
наука_рус	1	0
физика	1	0
радиэстезия_рус	1	0
учебник_школьный	1	1
